-1.538  -.9852       0
-1.312  -.1611       0
-1.244  .05765       0
-1.208  -.5726       0
-1.195  1.5162       1
-1.191  .82559       0
-1.188  1.3265       1
-1.062  .65015       1
-.9853  .99642       1
 -0.96  -.9531       0
-0.955  .92992       1
-.9434  1.0263       1
-.9212  .45515       1
-.9092  .36319       1
-.9089  -.1703       0
-.8854  .17823       1
-.8809  .49987       1
-.8738  -.3899       0
-.8657  -.5573       0
-.8585  -.9141       0
-.8409  .55422       1
-0.831  1.4134       1
-.8234  .25425       0
-.8214  .53633       0
-.7801  -0.208       0
-.7655  .14273       1
-.7502  1.0299       1
-.7476  -.1301       0
-0.738  -.3609       0
-.7369  .27891       0
-.7351  .08947       0
-.7311  0.8349       1
-.7301  .89014       1
-.7208  -.0729       1
-.7197  .63451       1
-.7148  .93322       1
-.7136  -.0705       0
-.7135  .77353       1
-.7102  .72762       1
-.7048  1.1031       1
-.7027  -.0314       0
-.7018  .92196       1
-.6981  0.7367       1
-.6978  .26433       0
-.6766  1.3677       1
-.6754  1.1838       1
-.6694  .93853       1
-.6675  .83149       1
-.6654  .25886       1
-.6611  0.8184       1
-.6568  .64232       1
-.6487  -0.479       0
-.6469  .10182       0
-.6328  1.1045       1
-.6237  .39385       1
-.6182  -.2033       0
-0.618  -.2755       0
-.6005  -.2428       0
-.5922  1.6696       1
-.5916  .15198       0
-.5888  .85321       1
-.5888  -.4732       0
-.5803  1.2086       1
-0.567  0.0995       0
-.5664  1.3102       1
-.5629  1.0891       1
-.5613  -.2853       0
-.5521  1.4108       1
-.5478  1.0738       1
-.5471  .71097       1
-.5452  .44614       1
-.5324  1.3047       1
-.5324  .79338       1
-.5298  0.4489       0
-.5269  0.1865       0
-.5199  -.7511       0
-.5162  1.2784       1
-.5147  .36211       1
-.5107  1.6142       1
 -0.51  .33713       1
-.5035  .89313       1
-0.503  1.2025       1
-.5011  .67968       1
-.5001  -.2139       0
-.4882  -.2428       0
-.4865  -.6144       0
-.4801  .65881       1
-.4739  .84483       1
-0.465  .46335       1
-.4627  .98391       0
-.4612  .43308       0
-0.455  .14892       0
-0.447  -.1301       1
-.4404  -.4541       0
-.4375  -.6492       0
-.4347  .73825       1
-.4336  .40034       0
-0.424  .01452       0
-.4188   1.133       1
-0.412  .13426       0
-0.406  -.7141       0
-.4052  .06922       0
-.3959  .25551       0
